;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
0;33915.0;0.0;0.0;-7.459124000477383e-06
1;33915.0;0.0;0.0;-1.4918248000954766e-05
2;33915.0;0.0;0.0;-2.2377372001432147e-05
3;33915.0;0.0;0.0;-2.983649600190953e-05
4;33915.0;0.0;0.0;-3.7295620002386916e-05
5;33915.0;0.0;0.0;-4.47547440028643e-05
6;33915.0;0.0;0.0;-5.2213868003341685e-05
7;33915.0;0.0;0.0;-5.967299200381907e-05
8;33915.0;0.0;0.0;-6.713211600429645e-05
9;33915.0;0.0;0.0;-7.459124000477383e-05
10;33915.0;0.0;0.0;-8.205036400525121e-05
11;33915.0;0.0;0.0;-8.950948800572859e-05
12;33915.0;0.0;0.0;-9.696861200620596e-05
13;33915.0;0.0;0.0;-0.00010442773600668334
14;33915.0;0.0;0.0;-0.00011188686000716072
15;33915.0;0.0;0.0;-0.0001193459840076381
16;33915.0;0.0;0.0;-0.0001268051080081155
17;33915.0;0.0;0.0;-0.00013426423200859288
18;33915.0;0.0;0.0;-0.00014172335600907027
19;33915.0;0.0;0.0;-0.00014918248000954766
20;33915.0;0.0;0.0;-0.00015664160401002505
21;33915.0;0.0;0.0;-0.00016410072801050245
22;33915.0;0.0;0.0;-0.00017155985201097984
23;33915.0;0.0;0.0;-0.00017901897601145723
24;33915.0;0.0;0.0;-0.00018647810001193462
25;33915.0;0.0;0.0;-0.000193937224012412
26;33915.0;0.0;0.0;-0.0002013963480128894
27;33915.0;0.0;0.0;-0.0002088554720133668
28;33915.0;0.0;0.0;-0.00021631459601384418
29;33915.0;0.0;0.0;-0.00022377372001432158
30;33915.0;0.0;0.0;-0.00023123284401479897
31;33915.0;0.0;0.0;-0.00023869196801527636
32;33915.0;0.0;0.0;-0.00024615109201575375
33;33915.0;0.0;0.0;-0.00025361021601623114
34;33915.0;0.0;0.0;-0.00026106934001670853
35;33915.0;0.0;0.0;-0.0002685284640171859
36;33915.0;0.0;0.0;-0.0002759875880176633
37;33915.0;0.0;0.0;-0.0002834467120181407
38;33915.0;0.0;0.0;-0.0002909058360186181
39;33915.0;0.0;0.0;-0.0002983649600190955
40;33915.0;0.0;0.0;-0.0003058240840195729
41;33915.0;0.0;0.0;-0.00031328320802005027
42;33915.0;0.0;0.0;-0.00032074233202052766
43;33915.0;0.0;0.0;-0.00032820145602100505
44;33915.0;0.0;0.0;-0.00033566058002148244
45;33915.0;0.0;0.0;-0.00034311970402195984
46;33915.0;0.0;0.0;-0.0003505788280224372
47;33915.0;0.0;0.0;-0.0003580379520229146
48;33915.0;0.0;0.0;-0.000365497076023392
49;33915.0;0.0;0.0;-0.0003729562000238694
50;33915.0;0.0;0.0;-0.0003804153240243468
51;33915.0;0.0;0.0;-0.0003878744480248242
52;33915.0;0.0;0.0;-0.0003953335720253016
53;33915.0;0.0;0.0;-0.00040279269602577897
54;33915.0;0.0;0.0;-0.00041025182002625636
55;33915.0;0.0;0.0;-0.00041771094402673375
56;33915.0;0.0;0.0;-0.00042517006802721114
57;33915.0;0.0;0.0;-0.00043262919202768853
58;33915.0;0.0;0.0;-0.0004400883160281659
59;33915.0;0.0;0.0;-0.0004475474400286433
60;33915.0;0.0;0.0;-0.0004550065640291207
61;33915.0;0.0;0.0;-0.0004624656880295981
62;33915.0;0.0;0.0;-0.0004699248120300755
63;33915.0;0.0;0.0;-0.0004773839360305529
64;33915.0;0.0;0.0;-0.00048484306003103027
65;33915.0;0.0;0.0;-0.0004923021840315076
66;33915.0;0.0;0.0;-0.0004997613080319849
67;33915.0;0.0;0.0;-0.0005072204320324623
68;33915.0;0.0;0.0;-0.0005146795560329396
69;33915.0;0.0;0.0;-0.000522138680033417
70;33915.0;0.0;0.0;-0.0005295978040338943
71;33915.0;0.0;0.0;-0.0005370569280343716
72;33915.0;0.0;0.0;-0.000544516052034849
73;33915.0;0.0;0.0;-0.0005519751760353263
74;33915.0;0.0;0.0;-0.0005594343000358036
75;33915.0;0.0;0.0;-0.000566893424036281
76;33915.0;0.0;0.0;-0.0005743525480367583
77;33915.0;0.0;0.0;-0.0005818116720372357
78;33915.0;0.0;0.0;-0.000589270796037713
79;33915.0;0.0;0.0;-0.0005967299200381903
80;33915.0;0.0;0.0;-0.0006041890440386677
81;33915.0;0.0;0.0;-0.000611648168039145
82;33915.0;0.0;0.0;-0.0006191072920396223
83;33915.0;0.0;0.0;-0.0006265664160400997
