temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3);fuel_consom_cumul (litre)
0.0;0.0;0.0;-7.459124000477383e-06;0.007459124000477383
1.0;0.0;0.0;-1.4918248000954766e-05;0.014918248000954766
2.0;0.0;0.0;-2.2377372001432147e-05;0.022377372001432146
3.0;0.0;0.0;-2.983649600190953e-05;0.029836496001909532
4.0;0.0;0.0;-3.7295620002386916e-05;0.03729562000238692
5.0;0.0;0.0;-4.47547440028643e-05;0.0447547440028643
6.0;0.0;0.0;-5.2213868003341685e-05;0.052213868003341685
7.0;0.0;0.0;-5.967299200381907e-05;0.05967299200381907
8.0;0.0;0.0;-6.713211600429645e-05;0.06713211600429646
9.0;0.0;0.0;-7.459124000477383e-05;0.07459124000477384
10.0;0.0;0.0;-8.205036400525121e-05;0.0820503640052512
11.0;0.0;0.0;-8.950948800572859e-05;0.08950948800572858
12.0;0.0;0.0;-9.696861200620596e-05;0.09696861200620596
13.0;0.0;0.0;-0.00010442773600668334;0.10442773600668334
14.0;0.0;0.0;-0.00011188686000716072;0.11188686000716072
15.0;0.0;0.0;-0.0001193459840076381;0.1193459840076381
16.0;0.0;0.0;-0.0001268051080081155;0.12680510800811548
17.0;0.0;0.0;-0.00013426423200859288;0.1342642320085929
18.0;0.0;0.0;-0.00014172335600907027;0.14172335600907027
19.0;0.0;0.0;-0.00014918248000954766;0.14918248000954767
20.0;0.0;0.0;-0.00015664160401002505;0.15664160401002505
21.0;0.0;0.0;-0.00016410072801050245;0.16410072801050243
22.0;0.0;0.0;-0.00017155985201097984;0.17155985201097984
23.0;0.0;0.0;-0.00017901897601145723;0.17901897601145722
24.0;0.0;0.0;-0.00018647810001193462;0.18647810001193463
25.0;0.0;0.0;-0.000193937224012412;0.193937224012412
26.0;0.0;0.0;-0.0002013963480128894;0.20139634801288941
27.0;0.0;0.0;-0.0002088554720133668;0.2088554720133668
28.0;0.0;0.0;-0.00021631459601384418;0.21631459601384417
29.0;0.0;0.0;-0.00022377372001432158;0.22377372001432158
30.0;0.0;0.0;-0.00023123284401479897;0.23123284401479896
31.0;0.0;0.0;-0.00023869196801527636;0.23869196801527637
32.0;0.0;0.0;-0.00024615109201575375;0.24615109201575375
33.0;0.0;0.0;-0.00025361021601623114;0.2536102160162311
34.0;0.0;0.0;-0.00026106934001670853;0.2610693400167085
35.0;0.0;0.0;-0.0002685284640171859;0.26852846401718594
36.0;0.0;0.0;-0.0002759875880176633;0.2759875880176633
37.0;0.0;0.0;-0.0002834467120181407;0.2834467120181407
38.0;0.0;0.0;-0.0002909058360186181;0.2909058360186181
39.0;0.0;0.0;-0.0002983649600190955;0.2983649600190955
40.0;0.0;0.0;-0.0003058240840195729;0.3058240840195729
41.0;0.0;0.0;-0.00031328320802005027;0.3132832080200503
42.0;0.0;0.0;-0.00032074233202052766;0.32074233202052765
43.0;0.0;0.0;-0.00032820145602100505;0.32820145602100503
44.0;0.0;0.0;-0.00033566058002148244;0.33566058002148247
45.0;0.0;0.0;-0.00034311970402195984;0.34311970402195985
46.0;0.0;0.0;-0.0003505788280224372;0.3505788280224372
47.0;0.0;0.0;-0.0003580379520229146;0.3580379520229146
48.0;0.0;0.0;-0.000365497076023392;0.365497076023392
49.0;0.0;0.0;-0.0003729562000238694;0.3729562000238694
50.0;0.0;0.0;-0.0003804153240243468;0.3804153240243468
51.0;0.0;0.0;-0.0003878744480248242;0.3878744480248242
52.0;0.0;0.0;-0.0003953335720253016;0.39533357202530156
53.0;0.0;0.0;-0.00040279269602577897;0.40279269602577894
54.0;0.0;0.0;-0.00041025182002625636;0.4102518200262564
55.0;0.0;0.0;-0.00041771094402673375;0.41771094402673375
56.0;0.0;0.0;-0.00042517006802721114;0.42517006802721113
57.0;0.0;0.0;-0.00043262919202768853;0.4326291920276885
58.0;0.0;0.0;-0.0004400883160281659;0.44008831602816595
59.0;0.0;0.0;-0.0004475474400286433;0.44754744002864333
60.0;0.0;0.0;-0.0004550065640291207;0.4550065640291207
61.0;0.0;0.0;-0.0004624656880295981;0.4624656880295981
62.0;0.0;0.0;-0.0004699248120300755;0.46992481203007547
63.0;0.0;0.0;-0.0004773839360305529;0.4773839360305529
64.0;0.0;0.0;-0.00048484306003103027;0.4848430600310303
65.0;0.0;0.0;-0.0004923021840315076;0.4923021840315076
66.0;0.0;0.0;-0.0004997613080319849;0.49976130803198493
67.0;0.0;0.0;-0.0005072204320324623;0.5072204320324623
68.0;0.0;0.0;-0.0005146795560329396;0.5146795560329396
69.0;0.0;0.0;-0.000522138680033417;0.5221386800334169
70.0;0.0;0.0;-0.0005295978040338943;0.5295978040338943
71.0;0.0;0.0;-0.0005370569280343716;0.5370569280343717
72.0;0.0;0.0;-0.000544516052034849;0.544516052034849
73.0;0.0;0.0;-0.0005519751760353263;0.5519751760353263
74.0;0.0;0.0;-0.0005594343000358036;0.5594343000358036
75.0;0.0;0.0;-0.000566893424036281;0.566893424036281
76.0;0.0;0.0;-0.0005743525480367583;0.5743525480367583
77.0;0.0;0.0;-0.0005818116720372357;0.5818116720372356
78.0;0.0;0.0;-0.000589270796037713;0.589270796037713
79.0;0.0;0.0;-0.0005967299200381903;0.5967299200381904
80.0;0.0;0.0;-0.0006041890440386677;0.6041890440386677
81.0;0.0;0.0;-0.000611648168039145;0.611648168039145
82.0;0.0;0.0;-0.0006191072920396223;0.6191072920396223
83.0;0.0;0.0;-0.0006265664160400997;0.6265664160400997
84.0;0.0;0.0;-0.000634025540040577;0.634025540040577
85.0;0.0;0.0;-0.0006414846640410543;0.6414846640410543
86.0;0.0;0.0;-0.0006489437880415317;0.6489437880415316
87.0;0.0;0.0;-0.000656402912042009;0.6564029120420091
88.0;0.0;0.0;-0.0006638620360424864;0.6638620360424864
89.0;0.0;0.0;-0.0006713211600429637;0.6713211600429637
90.0;0.0;0.0;-0.000678780284043441;0.678780284043441
91.0;0.0;0.0;-0.0006862394080439184;0.6862394080439184
92.0;0.0;0.0;-0.0006936985320443957;0.6936985320443957
93.0;0.0;0.0;-0.000701157656044873;0.701157656044873
94.0;0.0;0.0;-0.0007086167800453504;0.7086167800453503
95.0;0.0;0.0;-0.0007160759040458277;0.7160759040458278
96.0;0.0;0.0;-0.0007235350280463051;0.7235350280463051
97.0;0.0;0.0;-0.0007309941520467824;0.7309941520467824
98.0;0.0;0.0;-0.0007384532760472597;0.7384532760472597
99.0;0.0;0.0;-0.0007459124000477371;0.7459124000477371
100.0;0.0;0.0;-0.0007533715240482144;0.7533715240482144
101.0;0.0;0.0;-0.0007608306480486917;0.7608306480486917
102.0;0.0;0.0;-0.0007682897720491691;0.768289772049169
103.0;0.0;0.0;-0.0007757488960496464;0.7757488960496464
104.0;0.0;0.0;-0.0007832080200501238;0.7832080200501238
105.0;0.0;0.0;-0.0007906671440506011;0.7906671440506011
106.0;0.0;0.0;-0.0007981262680510784;0.7981262680510784
107.0;0.0;0.0;-0.0008055853920515558;0.8055853920515558
108.0;0.0;0.0;-0.0008130445160520331;0.8130445160520331
109.0;0.0;0.0;-0.0008205036400525104;0.8205036400525104
110.0;0.0;0.0;-0.0008279627640529878;0.8279627640529877
111.0;0.0;0.0;-0.0008354218880534651;0.8354218880534651
112.0;0.0;0.0;-0.0008428810120539424;0.8428810120539425
